item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1274,107,5,447.48,95
2,177,342,8,2762.22,22
3,409,81,10,10445.0,12
4,1626,213,8,73115.98,30
5,429,286,1,4394.5,45
6,1805,134,6,3985.02,20
7,358,424,9,3692.97,8
8,692,221,2,603.72,29
9,248,288,4,6077.5,33
10,697,402,6,3584.5,5
11,1578,450,9,2633.76,19
12,1748,354,9,5012.94,85
13,214,362,1,1862.6,56
14,1637,235,2,1363.91,78
15,1249,401,2,28001.04,71
16,86,260,2,3870.9,80
17,242,446,4,3648.75,46
18,322,373,5,8412.36,56
19,1561,260,8,4476.78,12
20,316,332,6,15906.0,17
21,252,435,4,16348.16,53
22,1576,394,1,685.62,60
23,700,147,9,146935.5,10
24,545,191,7,1730.3,80
25,1362,126,3,12265.02,96
26,1085,216,4,375.06,54
27,847,471,7,1374.48,58
28,1950,437,9,3227.85,87
29,741,484,1,3047.92,18
30,1578,6,9,4453.4,8
31,174,174,6,43281.94,98
32,337,223,1,8571.72,97
33,76,339,3,4650.6,73
34,119,324,9,1683.85,53
35,824,454,9,29160.45,38
36,1478,381,-6,8488.73,44
37,17,424,5,4591.26,67
38,1251,472,3,11402.16,51
39,914,330,4,313.26,69
40,1279,404,10,3841.5,56
41,1429,177,7,17709.44,25
42,1805,155,2,4266.84,68
43,686,200,3,224.28,69
44,582,110,2,63854.28,70
45,640,267,6,3658.2,81
46,328,12,1,491.28,69
47,1214,133,4,87495.6,99
48,623,372,-7,49439.88,14
49,1500,31,6,1201.24,80
50,1040,182,2,33228.96,96
51,1334,482,2,9235.52,38
52,1173,378,-1,6895.64,43
53,484,413,10,9299.2,91
54,1832,481,9,1430.28,76
55,479,180,5,2284.8,85
56,1608,418,10,2031.81,17
57,1463,194,9,1057.35,31
58,216,168,9,4317.44,24
59,1686,399,6,5522.96,12
60,301,365,7,7930.16,52
61,168,48,1,5469.81,16
62,976,110,8,56759.36,47
63,1387,270,7,12565.76,71
64,1063,399,7,6101.98,33
65,1197,256,7,27877.68,88
66,1907,486,8,6574.19,53
67,1688,84,3,6579.72,16
68,993,365,8,6647.34,90
69,1052,442,9,5418.35,88
70,436,234,8,144.3,95
71,322,484,9,2974.18,15
72,1233,437,-7,2701.83,15
73,757,293,5,983.46,66
74,314,61,6,752.08,47
75,622,151,8,5486.8,18
76,292,402,10,3290.25,6
77,1919,458,5,3254.04,36
78,442,94,8,796.4,15
79,1122,179,2,6441.74,5
80,856,247,10,2061.08,72
