order_id,customer_id,order_date,status,region_code
1,246.0,2002-12-31 17:09:50,RETURNED,EAST
2,290.0,1982-04-22 00:52:55,CANCELLED,WEST
3,547.0,2024-05-25 11:58:26,DELIVERED,EAST
4,268.0,2005-11-21 07:42:14,DELIVERED,CENTRAL
5,510.0,1972-04-02 11:16:08,CANCELLED,NORTH
6,481.0,1993-05-01 12:47:29,DELIVERED,SOUTH
7,380.0,1975-09-29 19:25:57,DELIVERED,WEST
8,47.0,1979-11-15 17:46:35,RETURNED,SOUTH
9,150.0,2010-07-12 07:53:05,PLACED,EAST
10,567.0,2025-12-02 01:19:23,RETURNED,CENTRAL
11,428.0,1980-06-28 10:14:00,DELIVERED,SOUTH
12,,2003-10-01 20:40:13,DELIVERED,SOUTH
13,389.0,2021-03-23 23:36:11,RETURNED,SOUTH
14,512.0,1998-02-06 21:00:11,RETURNED,EAST
15,264.0,2022-06-04 14:17:11,CANCELLED,WEST
16,472.0,1996-01-28 16:01:03,SHIPPED,EAST
17,174.0,12-03-1986,SHIPPED,CENTRAL
18,501.0,2014-12-16 23:23:26,SHIPPED,CENTRAL
19,658.0,1999-12-15 20:35:01,PLACED,CENTRAL
20,35.0,2019-05-28 19:19:32,PLACED,NORTH
21,7.0,2013-05-22 00:06:21,CANCELLED,SOUTH
22,646.0,1981-05-20 20:21:11,SHIPPED,NORTH
23,155.0,1984-05-07 20:56:52,PLACED,SOUTH
24,518.0,2009-04-26 05:42:33,CANCELLED,EAST
25,62.0,2019-12-22 15:27:48,RETURNED,CENTRAL
26,495.0,1993-06-25 21:41:18,CANCELLED,NORTH
27,7.0,1973-09-12 06:35:29,RETURNED,CENTRAL
28,,2013-09-15 11:40:09,PLACED,NORTH
29,,1987-12-29 14:03:15,DELIVERED,CENTRAL
30,294.0,2021-05-30 15:42:58,PLACED,CENTRAL
31,691.0,2025-10-08 13:17:29,CANCELLED,SOUTH
32,110.0,1977-11-23 01:20:03,PLACED,CENTRAL
33,,1973-07-29 11:18:36,SHIPPED,SOUTH
34,635.0,1981-05-28 17:31:56,RETURNED,EAST
35,363.0,2001-07-30 03:41:13,DELIVERED,WEST
36,81.0,1997-02-18 20:32:19,DELIVERED,WEST
37,,2002-05-29 19:25:04,RETURNED,SOUTH
38,232.0,1990-07-05 12:29:46,DELIVERED,NORTH
39,670.0,30-05-2002,PLACED,NORTH
40,416.0,2020-10-10 16:08:01,CANCELLED,WEST
41,,2021-03-15 16:41:44,CANCELLED,NORTH
42,653.0,2006-03-28 21:03:01,PLACED,SOUTH
43,85.0,25-11-1985,CANCELLED,WEST
44,661.0,1995-11-05 23:59:56,DELIVERED,CENTRAL
45,,2016-07-06 17:34:21,RETURNED,NORTH
46,236.0,2018-01-06 23:27:08,SHIPPED,CENTRAL
47,487.0,1996-07-18 06:06:28,DELIVERED,NORTH
48,77.0,2002-04-18 23:42:42,DELIVERED,CENTRAL
49,578.0,1987-11-15 14:00:30,PLACED,SOUTH
50,323.0,1979-11-17 17:14:53,PLACED,SOUTH
51,602.0,2006-02-05 05:03:17,SHIPPED,WEST
52,79.0,1999-08-02 09:07:50,DELIVERED,SOUTH
53,578.0,1970-10-22 20:34:40,SHIPPED,CENTRAL
54,399.0,1989-08-26 23:16:04,RETURNED,EAST
55,,2024-04-04 05:22:10,SHIPPED,NORTH
56,513.0,2000-07-17 11:55:53,DELIVERED,NORTH
57,101.0,1995-12-30 18:18:59,CANCELLED,SOUTH
58,78.0,2016-03-04 01:05:01,DELIVERED,CENTRAL
59,629.0,1991-06-26 11:35:58,RETURNED,WEST
60,335.0,2006-01-31 12:29:04,PLACED,EAST
61,462.0,2016-06-20 23:35:07,CANCELLED,SOUTH
62,365.0,1972-10-16 11:57:39,RETURNED,WEST
63,443.0,1976-08-17 00:04:37,SHIPPED,CENTRAL
64,677.0,2006-02-26 08:49:41,CANCELLED,NORTH
65,634.0,2013-05-18 06:19:06,DELIVERED,SOUTH
66,76.0,1994-01-29 10:40:32,PLACED,EAST
67,158.0,1999-05-21 02:18:34,CANCELLED,SOUTH
68,399.0,2011-07-18 16:49:28,DELIVERED,EAST
69,110.0,2014-05-17 04:28:30,PLACED,NORTH
70,316.0,1988-07-20 06:37:20,CANCELLED,EAST
71,277.0,1992-10-17 15:50:31,PLACED,SOUTH
72,90.0,1988-05-24 23:48:42,SHIPPED,WEST
73,460.0,1988-03-05 12:05:04,RETURNED,CENTRAL
74,525.0,2024-08-06 16:21:19,CANCELLED,NORTH
75,27.0,1976-09-08 16:23:14,PLACED,EAST
76,568.0,18-05-1987,PLACED,CENTRAL
77,613.0,2014-07-12 18:58:15,DELIVERED,WEST
78,13.0,2009-10-02 19:03:26,DELIVERED,WEST
79,398.0,1996-08-14 04:18:39,PLACED,CENTRAL
80,249.0,2001-05-18 21:59:21,RETURNED,CENTRAL
81,174.0,2022-08-12 18:32:33,CANCELLED,SOUTH
82,143.0,2015-12-15 10:50:39,DELIVERED,EAST
83,275.0,2020-12-22 18:08:07,CANCELLED,SOUTH
84,65.0,1986-06-15 21:30:36,SHIPPED,WEST
85,283.0,2019-12-21 11:02:14,CANCELLED,EAST
86,496.0,2015-09-21 21:54:28,PLACED,EAST
87,258.0,2010-01-23 19:42:59,SHIPPED,WEST
88,609.0,2022-06-07 19:32:15,RETURNED,SOUTH
89,469.0,1983-04-07 21:41:54,PLACED,SOUTH
90,312.0,2005-05-20 11:38:24,PLACED,WEST
91,341.0,1992-12-17 06:52:33,RETURNED,WEST
92,338.0,2016-02-13 18:37:47,CANCELLED,EAST
93,441.0,2016-12-21 23:03:34,RETURNED,SOUTH
94,308.0,1982-03-30 20:27:46,DELIVERED,CENTRAL
95,206.0,1991-04-27 08:43:58,CANCELLED,EAST
96,182.0,2007-04-07 23:37:03,CANCELLED,EAST
97,299.0,1970-09-20 22:01:02,CANCELLED,CENTRAL
98,249.0,2015-10-14 13:56:42,DELIVERED,WEST
